Year,Age,ASFR
1964,35,0.03216
1964,36,0.02342
1964,37,0.01682
1964,38,0.01197
1964,39,0.00866
1964,40,0.00648
1964,41,0.00425
1964,42,0.00275
1964,43,0.00178
1964,44,0.00088
1964,45,0.00047
1964,46,0.00022
1964,47,0.00012
1964,48,0.00005
1964,49,0.00004
1964,50,0.00002
1964,51,0.00001
1964,52,0
1964,53,0
1964,54,0
1964,55+,0
1965,-12,0
1965,13,0
1965,14,0.00001
1965,15,0.00004
1965,16,0.00031
1965,17,0.00168
1965,18,0.00545
1965,19,0.01324
1965,20,0.03115
1965,21,0.05987
1965,22,0.10338
1965,23,0.15733
1965,24,0.20477
1965,25,0.2257
1965,26,0.2259
1965,27,0.21644
1965,28,0.19564
1965,29,0.16497
1965,30,0.13786
1965,31,0.10549
1965,32,0.08328
1965,33,0.06335
1965,34,0.04627
1965,35,0.03415
1965,36,0.0246
1965,37,0.01752
1965,38,0.01198
1965,39,0.0085
1965,40,0.0059
1965,41,0.00408
1965,42,0.00263
1965,43,0.00151
1965,44,0.00089
1965,45,0.00042
1965,46,0.0002
1965,47,0.00011
1965,48,0.00006
1965,49,0.00005
1965,50,0.00001
1965,51,0.00001
1965,52,0.00001
1965,53,0
1965,54,0
1965,55+,0
1966,-12,0
1966,13,0
1966,14,0.00001
1966,15,0.00005
1966,16,0.00026
1966,17,0.00144
1966,18,0.00488
1966,19,0.01186
1966,20,0.02414
1966,21,0.04898
1966,22,0.08282
1966,23,0.12169
1966,24,0.15333
1966,25,0.17049
1966,26,0.16568
1966,27,0.15069
1966,28,0.13215
1966,29,0.1145
1966,30,0.09292
1966,31,0.07628
1966,32,0.05869
1966,33,0.0473
1966,34,0.03617
1966,35,0.02655
1966,36,0.02018
1966,37,0.01485
1966,38,0.01093
1966,39,0.00736
1966,40,0.00526
1966,41,0.00346
1966,42,0.00232
1966,43,0.00138
1966,44,0.00074
1966,45,0.00044
1966,46,0.00017
1966,47,0.00011
1966,48,0.00006
1966,49,0.00004
1966,50,0.00002
1966,51,0.00001
1966,52,0.00001
1966,53,0
1966,54,0
1966,55+,0
1967,-12,0
1967,13,0
1967,14,0
1967,15,0.00003
1967,16,0.0003
1967,17,0.00152
1967,18,0.00509
1967,19,0.01321
1967,20,0.02836
1967,21,0.05424
1967,22,0.10351
1967,23,0.15854
1967,24,0.2057
1967,25,0.2351
1967,26,0.24592
1967,27,0.22951
1967,28,0.20421
1967,29,0.17715
1967,30,0.1455
1967,31,0.11256
1967,32,0.08743
1967,33,0.0647
1967,34,0.04928
1967,35,0.0359
1967,36,0.02505
1967,37,0.01773
1967,38,0.01279
1967,39,0.00863
1967,40,0.00556
1967,41,0.00367
1967,42,0.00215
1967,43,0.00135
1967,44,0.00075
1967,45,0.00034
1967,46,0.00017
1967,47,0.00012
1967,48,0.00006
1967,49,0.00002
1967,50,0.00001
1967,51,0.00001
1967,52,0
1967,53,0.00001
1967,54,0
1967,55+,0
1968,-12,0
1968,13,0
1968,14,0.00002
1968,15,0.00004
1968,16,0.00024
1968,17,0.0014
1968,18,0.00495
1968,19,0.01252
1968,20,0.02813
1968,21,0.05534
1968,22,0.09499
1968,23,0.15192
1968,24,0.19969
1968,25,0.2242
1968,26,0.22907
1968,27,0.22332
1968,28,0.19621
1968,29,0.1649
1968,30,0.1346
1968,31,0.10733
1968,32,0.08341
1968,33,0.06512
1968,34,0.04669
1968,35,0.03529
1968,36,0.02581
1968,37,0.01763
1968,38,0.01276
1968,39,0.00861
1968,40,0.0057
1968,41,0.00335
1968,42,0.00233
1968,43,0.00149
1968,44,0.00079
1968,45,0.0004
1968,46,0.00022
1968,47,0.0001
1968,48,0.00006
1968,49,0.00003
1968,50,0
1968,51,0.00001
1968,52,0
1968,53,0.00001
1968,54,0
1968,55+,0
1969,-12,0
1969,13,0
1969,14,0.00002
1969,15,0.00006
1969,16,0.00025
1969,17,0.00142
1969,18,0.0049
1969,19,0.01279
1969,20,0.0277
1969,21,0.05455
1969,22,0.09687
1969,23,0.14664
1969,24,0.19964
1969,25,0.22604
1969,26,0.23118
1969,27,0.21814
1969,28,0.19811
1969,29,0.1671
1969,30,0.13426
1969,31,0.10381
1969,32,0.08408
1969,33,0.06461
1969,34,0.04851
1969,35,0.03476
1969,36,0.02582
1969,37,0.01817
1969,38,0.01276
1969,39,0.00886
1969,40,0.0055
1969,41,0.00363
1969,42,0.00212
1969,43,0.00138
1969,44,0.00079
1969,45,0.0004
1969,46,0.0002
1969,47,0.0001
1969,48,0.00005
1969,49,0.00003
1969,50,0.00001
1969,51,0.00001
1969,52,0
1969,53,0
1969,54,0
1969,55+,0
1970,-12,0
1970,13,0
1970,14,0.00001
1970,15,0.0001
1970,16,0.00031
1970,17,0.00151
1970,18,0.00525
1970,19,0.01315
1970,20,0.02909
1970,21,0.05565
1970,22,0.09883
1970,23,0.15216
1970,24,0.19375
1970,25,0.22799
1970,26,0.23328
1970,27,0.22091
1970,28,0.19598
1970,29,0.16942
1970,30,0.13653
1970,31,0.10331
1970,32,0.08146
1970,33,0.06456
1970,34,0.04766
1970,35,0.03509
1970,36,0.02485
1970,37,0.01813
1970,38,0.01273
1970,39,0.00839
1970,40,0.00562
1970,41,0.00355
1970,42,0.00228
1970,43,0.0012
1970,44,0.00072
1970,45,0.00044
1970,46,0.00018
1970,47,0.00009
1970,48,0.00005
1970,49,0.00003
1970,50,0.00001
1970,51,0.00003
1970,52,0.00001
1970,53,0
1970,54,0
1970,55+,0
1971,-12,0
1971,13,0
1971,14,0.00001
1971,15,0.00003
1971,16,0.00031
1971,17,0.00172
1971,18,0.00546
1971,19,0.01393
1971,20,0.02933
1971,21,0.05662
1971,22,0.09881
1971,23,0.15453
1971,24,0.20085
1971,25,0.22186
1971,26,0.23556
1971,27,0.22622
1971,28,0.20265
1971,29,0.17049
1971,30,0.14038
1971,31,0.10615
1971,32,0.08203
1971,33,0.06307
1971,34,0.04715
1971,35,0.03409
1971,36,0.02517
1971,37,0.01724
1971,38,0.01274
1971,39,0.00871
1971,40,0.0056
1971,41,0.00353
1971,42,0.00224
1971,43,0.00124
1971,44,0.0006
1971,45,0.00036
1971,46,0.0002
1971,47,0.00009
1971,48,0.00005
1971,49,0.00003
1971,50,0.00001
1971,51,0.00001
1971,52,0
1971,53,0
1971,54,0
1971,55+,0.00001
1972,-12,0
1972,13,0
1972,14,0.00001
1972,15,0.00003
1972,16,0.00034
1972,17,0.00182
1972,18,0.00605
1972,19,0.01482
1972,20,0.03172
1972,21,0.05846
1972,22,0.10034
1972,23,0.15601
1972,24,0.2043
1972,25,0.22771
1972,26,0.22687
1972,27,0.22119
1972,28,0.19844
1972,29,0.16979
1972,30,0.13585
1972,31,0.10599
1972,32,0.08058
1972,33,0.06105
1972,34,0.04488
1972,35,0.03301
1972,36,0.0243
1972,37,0.01689
1972,38,0.01205
1972,39,0.00847
1972,40,0.00557
1972,41,0.00341
1972,42,0.00217
1972,43,0.00125
1972,44,0.00067
1972,45,0.00029
1972,46,0.00015
1972,47,0.00011
1972,48,0.00003
1972,49,0.00002
1972,50,0
1972,51,0
1972,52,0
1972,53,0
1972,54,0
1972,55+,0
1973,-12,0
1973,13,0
1973,14,0.00001
1973,15,0.00004
1973,16,0.00036
1973,17,0.00202
1973,18,0.00591
1973,19,0.01542
1973,20,0.03227
1973,21,0.0605
1973,22,0.10076
1973,23,0.15369
1973,24,0.20478
1973,25,0.22893
1973,26,0.23198
1973,27,0.21345
1973,28,0.19515
1973,29,0.1689
1973,30,0.13599
1973,31,0.10384
1973,32,0.08107
1973,33,0.06239
1973,34,0.04471
1973,35,0.03228
1973,36,0.02402
1973,37,0.01665
1973,38,0.01212
1973,39,0.00813
1973,40,0.0054
1973,41,0.00344
1973,42,0.00209
1973,43,0.00117
1973,44,0.00066
1973,45,0.00033
1973,46,0.00013
1973,47,0.00008
1973,48,0.00006
1973,49,0.00003
1973,50,0
1973,51,0
1973,52,0
1973,53,0
1973,54,0
1973,55+,0
1974,-12,0
1974,13,0
1974,14,0.00001
1974,15,0.00005
1974,16,0.00041
1974,17,0.00191
1974,18,0.00598
1974,19,0.01455
1974,20,0.03153
1974,21,0.06019
1974,22,0.10081
1974,23,0.14773
1974,24,0.19855
1974,25,0.22421
1974,26,0.22602
1974,27,0.21091
1974,28,0.17987
1974,29,0.15572
1974,30,0.12728
1974,31,0.09705
1974,32,0.07322
1974,33,0.0569
1974,34,0.04166
1974,35,0.03004
1974,36,0.02147
1974,37,0.0153
1974,38,0.01092
1974,39,0.0075
1974,40,0.00483
1974,41,0.00317
1974,42,0.00204
1974,43,0.0011
1974,44,0.00066
1974,45,0.00029
1974,46,0.00014
1974,47,0.00006
1974,48,0.00004
1974,49,0.00001
1974,50,0
1974,51,0
1974,52,0
1974,53,0
1974,54,0
1974,55+,0
1975,-12,0
1975,13,0
1975,14,0.00001
